;precision;recall;f1-score;support
dyed-lifted-polyps;0.8894009216589862;0.965;0.9256594724220625;200.0
dyed-resection-margins;0.9617486338797814;0.88;0.9190600522193211;200.0
esophagitis;0.8914285714285715;0.78;0.8320000000000001;200.0
normal-cecum;0.9241706161137441;0.975;0.948905109489051;200.0
normal-pylorus;0.9433962264150944;1.0;0.970873786407767;200.0
normal-z-line;0.8287037037037037;0.895;0.8605769230769231;200.0
polyps;0.9787234042553191;0.92;0.9484536082474226;200.0
ulcerative-colitis;0.9696969696969697;0.96;0.964824120603015;200.0
accuracy;0.921875;0.921875;0.921875;0.921875
macro avg;0.9234086308940213;0.921875;0.9212941340581953;1600.0
weighted avg;0.9234086308940213;0.921875;0.9212941340581954;1600.0
