;precision;recall;f1-score;support
dyed-lifted-polyps;0.6648351648351648;0.605;0.6335078534031414;200.0
dyed-resection-margins;0.6484018264840182;0.71;0.6778042959427206;200.0
esophagitis;0.860655737704918;0.525;0.6521739130434783;200.0
normal-cecum;0.7759336099585062;0.935;0.8480725623582768;200.0
normal-pylorus;0.8699551569506726;0.97;0.9172576832151299;200.0
normal-z-line;0.6745098039215687;0.86;0.7560439560439559;200.0
polyps;0.7660818713450293;0.655;0.7061994609164421;200.0
ulcerative-colitis;0.786096256684492;0.735;0.7596899224806202;200.0
accuracy;0.749375;0.749375;0.749375;0.749375
macro avg;0.7558086784855462;0.749375;0.7438437059254707;1600.0
weighted avg;0.7558086784855462;0.749375;0.7438437059254707;1600.0
