;precision;recall;f1-score;support
dyed-lifted-polyps;0.6119402985074627;0.492;0.5454545454545455;250.0
dyed-resection-margins;0.6680497925311203;0.644;0.6558044806517311;250.0
esophagitis;0.7445652173913043;0.548;0.6313364055299541;250.0
normal-cecum;0.6260869565217392;0.864;0.7260504201680673;250.0
normal-pylorus;0.898876404494382;0.96;0.9284332688588007;250.0
normal-z-line;0.6205787781350482;0.772;0.6880570409982175;250.0
polyps;0.5774647887323944;0.492;0.531317494600432;250.0
ulcerative-colitis;0.6302521008403361;0.6;0.6147540983606556;250.0
accuracy;0.6715;0.6715;0.6715;0.6715
macro avg;0.6722267921442234;0.6715;0.6651509693278005;2000.0
weighted avg;0.6722267921442233;0.6715;0.6651509693278006;2000.0
