;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_metric;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
11;0.5472;0.006;5.7139;0.2219;manhattan;5;distance;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};0.6925;0.6775;0.6867;0.6567;0.675;0.6777;0.0122;1
13;0.5519;0.0094;5.8901;0.0513;manhattan;11;distance;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};0.6867;0.6742;0.6875;0.6642;0.6692;0.6763;0.0093;2
15;0.5353;0.0128;6.1829;0.0435;manhattan;19;distance;{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'distance'};0.6908;0.6742;0.6792;0.6625;0.6733;0.676;0.0092;3
9;0.5485;0.0155;5.2575;0.0495;manhattan;3;distance;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'};0.6867;0.6783;0.6758;0.6533;0.6767;0.6742;0.0111;4
10;0.5449;0.0064;5.5589;0.0464;manhattan;5;uniform;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'};0.6942;0.6792;0.6825;0.6525;0.66;0.6737;0.0153;5
8;0.546;0.0212;5.3126;0.0612;manhattan;3;uniform;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'};0.6892;0.6792;0.6758;0.6492;0.6675;0.6722;0.0134;6
12;0.5599;0.036;6.0064;0.0736;manhattan;11;uniform;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'};0.6792;0.6733;0.6783;0.6567;0.6683;0.6712;0.0082;7
14;0.5482;0.0134;6.2508;0.0478;manhattan;19;uniform;{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'uniform'};0.6892;0.6675;0.6717;0.6558;0.67;0.6708;0.0107;8
7;0.547;0.0136;4.2525;0.0468;euclidean;19;distance;{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'};0.6808;0.6808;0.6625;0.6383;0.645;0.6615;0.0176;9
5;0.5514;0.0144;3.9396;0.0526;euclidean;11;distance;{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'};0.6767;0.675;0.655;0.6383;0.6458;0.6582;0.0154;10
6;0.5512;0.0242;4.3282;0.0496;euclidean;19;uniform;{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'};0.6742;0.6792;0.6583;0.6342;0.6342;0.656;0.0191;11
3;0.5553;0.0156;3.5418;0.0596;euclidean;5;distance;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'};0.6767;0.66;0.6625;0.625;0.6408;0.653;0.0181;12
2;0.5416;0.01;3.5857;0.0652;euclidean;5;uniform;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'};0.6742;0.6592;0.66;0.6183;0.6408;0.6505;0.0193;13
4;0.5451;0.0037;3.9826;0.0396;euclidean;11;uniform;{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'};0.6633;0.6667;0.6375;0.6317;0.6383;0.6475;0.0145;14
1;0.5874;0.021;3.3913;0.0737;euclidean;3;distance;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};0.6592;0.6283;0.6533;0.6175;0.6392;0.6395;0.0154;15
0;0.5574;0.0171;3.412;0.0774;euclidean;3;uniform;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};0.6567;0.6283;0.6458;0.615;0.635;0.6362;0.0143;16
