;precision;recall;f1-score;support
dyed-lifted-polyps;0.5726495726495726;0.268;0.3651226158038147;250.0
dyed-resection-margins;0.60546875;0.62;0.6126482213438734;250.0
esophagitis;0.7014925373134329;0.564;0.6252771618625277;250.0
normal-cecum;0.5909090909090909;0.936;0.7244582043343654;250.0
normal-pylorus;0.935064935064935;0.864;0.8981288981288982;250.0
normal-z-line;0.5848484848484848;0.772;0.6655172413793103;250.0
polyps;0.4306930693069307;0.348;0.38495575221238937;250.0
ulcerative-colitis;0.6179775280898876;0.66;0.6382978723404255;250.0
accuracy;0.629;0.629;0.629;0.629
macro avg;0.6298879960227918;0.629;0.6143007459257006;2000.0
weighted avg;0.6298879960227919;0.629;0.6143007459257005;2000.0
