rank;iteration;param-metric;param-n-neighbors;param-weights;mean-test-score;std-test-score
1;5;euclidean;11;distance;0.6456;0.0105
2;4;euclidean;11;uniform;0.645;0.011
3;3;euclidean;5;distance;0.6428;0.0109
4;13;manhattan;11;distance;0.6427;0.0097
5;7;euclidean;19;distance;0.6383;0.0139
6;12;manhattan;11;uniform;0.6377;0.0064
7;2;euclidean;5;uniform;0.6372;0.0089
8;6;euclidean;19;uniform;0.6369;0.015
9;15;manhattan;19;distance;0.6362;0.0048
10;11;manhattan;5;distance;0.6344;0.0165
11;8;manhattan;3;uniform;0.6331;0.0064
12;10;manhattan;5;uniform;0.6319;0.0171
13;14;manhattan;19;uniform;0.6314;0.0034
14;9;manhattan;3;distance;0.63;0.0049
15;0;euclidean;3;uniform;0.6242;0.0045
16;1;euclidean;3;distance;0.623;0.0072
